# NOTARIUS confusables (ASCII-target subset) — look-alikes that masquerade as ASCII.
# PROVENANCE: derived from UTS#39 confusables.txt, Unicode 17.0.0.
# The source data was read out of the sibling project rus1978rus/msl_mip
# (tools/sources/17.0.0/confusables.txt); msl_mip itself was NOT modified (AD-80).
# Original: https://www.unicode.org/Public/security/latest/confusables.txt
# Data license: Unicode License (permits redistribution with attribution).
# Selected entries whose prototype is PURELY printable ASCII (our case: masquerading
# as Latin letters/digits/punctuation). Format: SRC_HEX;TARGET_HEX[ TARGET_HEX...]
23FD;006C
244A;005C 005C
2474;0028 006C 0029
2475;0028 0032 0029
2476;0028 0033 0029
2477;0028 0034 0029
2478;0028 0035 0029
2479;0028 0036 0029
247A;0028 0037 0029
247B;0028 0038 0029
247C;0028 0039 0029
247D;0028 006C 004F 0029
247E;0028 006C 006C 0029
247F;0028 006C 0032 0029
2480;0028 006C 0033 0029
2481;0028 006C 0034 0029
2482;0028 006C 0035 0029
2483;0028 006C 0036 0029
2484;0028 006C 0037 0029
2485;0028 006C 0038 0029
2486;0028 006C 0039 0029
2487;0028 0032 004F 0029
2488;006C 002E
2489;0032 002E
248A;0033 002E
248B;0034 002E
248C;0035 002E
248D;0036 002E
248E;0037 002E
248F;0038 002E
2490;0039 002E
2491;006C 004F 002E
2492;006C 006C 002E
2493;006C 0032 002E
2494;006C 0033 002E
2495;006C 0034 002E
2496;006C 0035 002E
2497;006C 0036 002E
2498;006C 0037 002E
2499;006C 0038 002E
249A;006C 0039 002E
249B;0032 004F 002E
249C;0028 0061 0029
249D;0028 0062 0029
249E;0028 0063 0029
249F;0028 0064 0029
24A0;0028 0065 0029
24A1;0028 0066 0029
24A2;0028 0067 0029
24A3;0028 0068 0029
24A4;0028 0069 0029
24A5;0028 006A 0029
24A6;0028 006B 0029
24A7;0028 006C 0029
24A8;0028 0072 006E 0029
24A9;0028 006E 0029
24AA;0028 006F 0029
24AB;0028 0070 0029
24AC;0028 0071 0029
24AD;0028 0072 0029
24AE;0028 0073 0029
24AF;0028 0074 0029
24B0;0028 0075 0029
24B1;0028 0076 0029
24B2;0028 0077 0029
24B3;0028 0078 0029
24B4;0028 0079 0029
24B5;0028 007A 0029
2571;002F
2573;0058
2768;0028
2769;0029
276E;003C
276F;003E
2772;0028
2773;0029
2774;007B
2775;007D
2795;002B
2796;002D
27CB;002F
27CD;005C
27D9;0054
292B;0078
292C;0078
29F5;005C
29F8;002F
29F9;005C
2A20;003E 003E
2A2F;0078
2A74;003A 003A 003D
2A75;003D 003D
2A76;003D 003D 003D
2AA5;003E 003C
2AFB;002F 002F 002F
2AFD;002F 002F
2C82;0042
2C85;0072
2C8E;0048
2C92;006C
2C93;0069
2C94;004B
2C98;004D
2C9A;004E
2C9C;0033
2C9E;004F
2C9F;006F
2CA2;0050
2CA3;0070
2CA4;0043
2CA5;0063
2CA6;0054
2CA8;0059
2CA9;0079
2CAC;0058
2CBA;002D
2CBB;002D
2CBD;0077
2CC4;0033
2CC6;002F
2CC7;002F
2CCA;0039
2CCB;0039
2CCC;0033
2CCE;0050
2CCF;0070
2CD0;004C
2CD2;0036
2CD3;0036
2CDC;0036
2CF9;005C 005C
2D38;0056
2D39;0045
2D4F;006C
2D51;0021
2D54;004F
2D55;0051
2D5D;0058
2E28;0028 0028
2E29;0029 0029
2E40;003D
2F02;005C
2F03;002F
3003;0027 0027
3007;004F
3014;0028
3015;0029
3033;002F
30A0;003D
30CE;002F
31D3;002F
31D4;005C
4E36;005C
4E3F;002F
A4D0;0042
A4D1;0050
A4D2;0064
A4D3;0044
A4D4;0054
A4D6;0047
A4D7;004B
A4D9;004A
A4DA;0043
A4DC;005A
A4DD;0046
A4DF;004D
A4E0;004E
A4E1;004C
A4E2;0053
A4E3;0052
A4E6;0056
A4E7;0048
A4EA;0057
A4EB;0058
A4EC;0059
A4EE;0041
A4F0;0045
A4F2;006C
A4F3;004F
A4F4;0055
A4F8;002E
A4F9;002C
A4FA;002E 002E
A4FB;002E 002C
A4FD;003A
A4FE;002D 002E
A4FF;003D
A60E;002E
A644;0032
A647;0069
A698;004F 004F
A699;006F 006F
A6DF;0056
A6EB;003F
A6EF;0032
A728;0054 0033
A731;0073
A732;0041 0041
A733;0061 0061
A734;0041 004F
A735;0061 006F
A736;0041 0055
A737;0061 0075
A738;0041 0056
A739;0061 0076
A73A;0041 0056
A73B;0061 0076
A73C;0041 0059
A73D;0061 0079
A74E;004F 004F
A74F;006F 006F
A75A;0032
A76A;0033
A76E;0039
A777;0074 0066
A778;0026
A789;003A
A78C;0027
A798;0046
A799;0066
A79F;0075
A7AB;0033
A7B2;004A
A7B3;0058
A7B4;0042
AB32;0065
AB35;0066
AB3D;006F
AB47;0072
AB48;0072
AB4E;0075
AB52;0075
AB5A;0079
AB63;0075 006F
AB75;0069
AB81;0072
AB83;0077
AB93;007A
ABA9;0076
ABAA;0073
ABAF;0063
FB00;0066 0066
FB01;0066 0069
FB02;0066 006C
FB03;0066 0066 0069
FB04;0066 0066 006C
FB06;0073 0074
FBA6;006F
FBA7;006F
FBA8;006F
FBA9;006F
FBAA;006F
FBAB;006F
FBAC;006F
FBAD;006F
FD3E;0028
FD3F;0029
FE30;003A
FE4D;005F
FE4E;005F
FE4F;005F
FE58;002D
FE68;005C
FE8D;006C
FE8E;006C
FEE9;006F
FEEA;006F
FEEB;006F
FEEC;006F
FF01;0021
FF02;0027 0027
FF07;0027
FF1A;003A
FF21;0041
FF22;0042
FF23;0043
FF25;0045
FF28;0048
FF29;006C
FF2A;004A
FF2B;004B
FF2D;004D
FF2E;004E
FF2F;004F
FF30;0050
FF33;0053
FF34;0054
FF38;0058
FF39;0059
FF3A;005A
FF3B;0028
FF3C;005C
FF3D;0029
FF40;0027
FF41;0061
FF43;0063
FF45;0065
FF47;0067
FF48;0068
FF49;0069
FF4A;006A
FF4C;006C
FF4F;006F
FF50;0070
FF53;0073
FF56;0076
FF58;0078
FF59;0079
FFE8;006C
10282;0042
10286;0045
10287;0046
1028A;006C
10290;0058
10292;004F
10295;0050
10296;0053
10297;0054
1029B;002B
102A0;0041
102A1;0042
102A2;0043
102A5;0046
102AB;004F
102B0;004D
102B1;0054
102B2;0059
102B4;0058
102CF;0048
102F5;005A
10301;0042
10302;0043
10309;006C
10311;004D
10315;0054
10317;0058
1031A;0038
1031F;002A
10320;006C
10322;0058
10404;004F
10415;0043
1041B;004C
10420;0053
1042C;006F
1043D;0063
10448;0073
104B4;0052
104C2;004F
104CE;0055
104D2;0037
104EA;006F
104F6;0075
10513;004E
10516;004F
10518;004B
1051C;0043
1051D;0056
10525;0046
10526;004C
10527;0058
10A50;002E
114D0;006F
11700;0072 006E
11706;0076
1170A;0077
1170E;0077
1170F;0077
118A0;0056
118A2;0046
118A3;004C
118A4;0059
118A6;0045
118A9;005A
118AC;0039
118AE;0045
118AF;0034
118B2;004C
118B5;004F
118B8;0055
118BB;0035
118BC;0054
118C0;0076
118C1;0073
118C2;0046
118C3;0069
118C4;007A
118C6;0037
118C8;006F
118CA;0033
118CC;0039
118D5;0036
118D6;0039
118D7;006F
118D8;0075
118DC;0079
118E0;004F
118E3;0072 006E
118E5;005A
118E6;0057
118E9;0043
118EC;0058
118EF;0057
118F2;0043
11DD9;003A
11DDA;006C
11DE0;004F
11DE1;006C
16EAA;006C
16EB6;0062
16F08;0056
16F0A;0054
16F16;004C
16F28;006C
16F35;0052
16F3A;0053
16F3B;0033
16F3F;003E
16F40;0041
16F42;0055
16F43;0059
16F51;0027
16F52;0027
1CCD6;0041
1CCD7;0042
1CCD8;0043
1CCD9;0044
1CCDA;0045
1CCDB;0046
1CCDC;0047
1CCDD;0048
1CCDE;006C
1CCDF;004A
1CCE0;004B
1CCE1;004C
1CCE2;004D
1CCE3;004E
1CCE4;004F
1CCE5;0050
1CCE6;0051
1CCE7;0052
1CCE8;0053
1CCE9;0054
1CCEA;0055
1CCEB;0056
1CCEC;0057
1CCED;0058
1CCEE;0059
1CCEF;005A
1CCF0;004F
1CCF1;006C
1CCF2;0032
1CCF3;0033
1CCF4;0034
1CCF5;0035
1CCF6;0036
1CCF7;0037
1CCF8;0038
1CCF9;0039
1D114;007B
1D16D;002E
1D206;0033
1D20D;0056
1D20F;005C
1D212;0037
1D213;0046
1D216;0052
1D22A;004C
1D236;003C
1D237;003E
1D23A;002F
1D23B;005C
1D400;0041
1D401;0042
1D402;0043
1D403;0044
1D404;0045
1D405;0046
1D406;0047
1D407;0048
1D408;006C
1D409;004A
1D40A;004B
1D40B;004C
1D40C;004D
1D40D;004E
1D40E;004F
1D40F;0050
1D410;0051
1D411;0052
1D412;0053
1D413;0054
1D414;0055
1D415;0056
1D416;0057
1D417;0058
1D418;0059
1D419;005A
1D41A;0061
1D41B;0062
1D41C;0063
1D41D;0064
1D41E;0065
1D41F;0066
1D420;0067
1D421;0068
1D422;0069
1D423;006A
1D424;006B
1D425;006C
1D426;0072 006E
1D427;006E
1D428;006F
1D429;0070
1D42A;0071
1D42B;0072
1D42C;0073
1D42D;0074
1D42E;0075
1D42F;0076
1D430;0077
1D431;0078
1D432;0079
1D433;007A
1D434;0041
1D435;0042
1D436;0043
1D437;0044
1D438;0045
1D439;0046
1D43A;0047
1D43B;0048
1D43C;006C
1D43D;004A
1D43E;004B
1D43F;004C
1D440;004D
1D441;004E
1D442;004F
1D443;0050
1D444;0051
1D445;0052
1D446;0053
1D447;0054
1D448;0055
1D449;0056
1D44A;0057
1D44B;0058
1D44C;0059
1D44D;005A
1D44E;0061
1D44F;0062
1D450;0063
1D451;0064
1D452;0065
1D453;0066
1D454;0067
1D456;0069
1D457;006A
1D458;006B
1D459;006C
1D45A;0072 006E
1D45B;006E
1D45C;006F
1D45D;0070
1D45E;0071
1D45F;0072
1D460;0073
1D461;0074
1D462;0075
1D463;0076
1D464;0077
1D465;0078
1D466;0079
1D467;007A
1D468;0041
1D469;0042
1D46A;0043
1D46B;0044
1D46C;0045
1D46D;0046
1D46E;0047
1D46F;0048
1D470;006C
1D471;004A
1D472;004B
1D473;004C
1D474;004D
1D475;004E
1D476;004F
1D477;0050
1D478;0051
1D479;0052
1D47A;0053
1D47B;0054
1D47C;0055
1D47D;0056
1D47E;0057
1D47F;0058
1D480;0059
1D481;005A
1D482;0061
1D483;0062
1D484;0063
1D485;0064
1D486;0065
1D487;0066
1D488;0067
1D489;0068
1D48A;0069
1D48B;006A
1D48C;006B
1D48D;006C
1D48E;0072 006E
1D48F;006E
1D490;006F
1D491;0070
1D492;0071
1D493;0072
1D494;0073
1D495;0074
1D496;0075
1D497;0076
1D498;0077
1D499;0078
1D49A;0079
1D49B;007A
1D49C;0041
1D49E;0043
1D49F;0044
1D4A2;0047
1D4A5;004A
1D4A6;004B
1D4A9;004E
1D4AA;004F
1D4AB;0050
1D4AC;0051
1D4AE;0053
1D4AF;0054
1D4B0;0055
1D4B1;0056
1D4B2;0057
1D4B3;0058
1D4B4;0059
1D4B5;005A
1D4B6;0061
1D4B7;0062
1D4B8;0063
1D4B9;0064
1D4BB;0066
1D4BD;0068
1D4BE;0069
1D4BF;006A
1D4C0;006B
1D4C1;006C
1D4C2;0072 006E
1D4C3;006E
1D4C5;0070
1D4C6;0071
1D4C7;0072
1D4C8;0073
1D4C9;0074
1D4CA;0075
1D4CB;0076
1D4CC;0077
1D4CD;0078
1D4CE;0079
1D4CF;007A
1D4D0;0041
1D4D1;0042
1D4D2;0043
1D4D3;0044
1D4D4;0045
1D4D5;0046
1D4D6;0047
1D4D7;0048
1D4D8;006C
1D4D9;004A
1D4DA;004B
1D4DB;004C
1D4DC;004D
1D4DD;004E
1D4DE;004F
1D4DF;0050
1D4E0;0051
1D4E1;0052
1D4E2;0053
1D4E3;0054
1D4E4;0055
1D4E5;0056
1D4E6;0057
1D4E7;0058
1D4E8;0059
1D4E9;005A
1D4EA;0061
1D4EB;0062
1D4EC;0063
1D4ED;0064
1D4EE;0065
1D4EF;0066
1D4F0;0067
1D4F1;0068
1D4F2;0069
1D4F3;006A
1D4F4;006B
1D4F5;006C
1D4F6;0072 006E
1D4F7;006E
1D4F8;006F
1D4F9;0070
1D4FA;0071
1D4FB;0072
1D4FC;0073
1D4FD;0074
1D4FE;0075
1D4FF;0076
1D500;0077
1D501;0078
1D502;0079
1D503;007A
1D504;0041
1D505;0042
1D507;0044
1D508;0045
1D509;0046
1D50A;0047
1D50D;004A
1D50E;004B
1D50F;004C
1D510;004D
1D511;004E
1D512;004F
1D513;0050
1D514;0051
1D516;0053
1D517;0054
1D518;0055
1D519;0056
1D51A;0057
1D51B;0058
1D51C;0059
1D51E;0061
1D51F;0062
1D520;0063
1D521;0064
1D522;0065
1D523;0066
1D524;0067
1D525;0068
1D526;0069
1D527;006A
1D528;006B
1D529;006C
1D52A;0072 006E
1D52B;006E
1D52C;006F
1D52D;0070
1D52E;0071
1D52F;0072
1D530;0073
1D531;0074
1D532;0075
1D533;0076
1D534;0077
1D535;0078
1D536;0079
1D537;007A
1D538;0041
1D539;0042
1D53B;0044
1D53C;0045
1D53D;0046
1D53E;0047
1D540;006C
1D541;004A
1D542;004B
1D543;004C
1D544;004D
1D546;004F
1D54A;0053
1D54B;0054
1D54C;0055
1D54D;0056
1D54E;0057
1D54F;0058
1D550;0059
1D552;0061
1D553;0062
1D554;0063
1D555;0064
1D556;0065
1D557;0066
1D558;0067
1D559;0068
1D55A;0069
1D55B;006A
1D55C;006B
1D55D;006C
1D55E;0072 006E
1D55F;006E
1D560;006F
1D561;0070
1D562;0071
1D563;0072
1D564;0073
1D565;0074
1D566;0075
1D567;0076
1D568;0077
1D569;0078
1D56A;0079
1D56B;007A
1D56C;0041
1D56D;0042
1D56E;0043
1D56F;0044
1D570;0045
1D571;0046
1D572;0047
1D573;0048
1D574;006C
1D575;004A
1D576;004B
1D577;004C
1D578;004D
1D579;004E
1D57A;004F
1D57B;0050
1D57C;0051
1D57D;0052
1D57E;0053
1D57F;0054
1D580;0055
1D581;0056
1D582;0057
1D583;0058
1D584;0059
1D585;005A
1D586;0061
1D587;0062
1D588;0063
1D589;0064
1D58A;0065
1D58B;0066
1D58C;0067
1D58D;0068
1D58E;0069
1D58F;006A
1D590;006B
1D591;006C
1D592;0072 006E
1D593;006E
1D594;006F
1D595;0070
1D596;0071
1D597;0072
1D598;0073
1D599;0074
1D59A;0075
1D59B;0076
1D59C;0077
1D59D;0078
1D59E;0079
1D59F;007A
1D5A0;0041
1D5A1;0042
1D5A2;0043
1D5A3;0044
1D5A4;0045
1D5A5;0046
1D5A6;0047
1D5A7;0048
1D5A8;006C
1D5A9;004A
1D5AA;004B
1D5AB;004C
1D5AC;004D
1D5AD;004E
1D5AE;004F
1D5AF;0050
1D5B0;0051
1D5B1;0052
1D5B2;0053
1D5B3;0054
1D5B4;0055
1D5B5;0056
1D5B6;0057
1D5B7;0058
1D5B8;0059
1D5B9;005A
1D5BA;0061
1D5BB;0062
1D5BC;0063
1D5BD;0064
1D5BE;0065
1D5BF;0066
1D5C0;0067
1D5C1;0068
1D5C2;0069
1D5C3;006A
1D5C4;006B
1D5C5;006C
1D5C6;0072 006E
1D5C7;006E
1D5C8;006F
1D5C9;0070
1D5CA;0071
1D5CB;0072
1D5CC;0073
1D5CD;0074
1D5CE;0075
1D5CF;0076
1D5D0;0077
1D5D1;0078
1D5D2;0079
1D5D3;007A
1D5D4;0041
1D5D5;0042
1D5D6;0043
1D5D7;0044
1D5D8;0045
1D5D9;0046
1D5DA;0047
1D5DB;0048
1D5DC;006C
1D5DD;004A
1D5DE;004B
1D5DF;004C
1D5E0;004D
1D5E1;004E
1D5E2;004F
1D5E3;0050
1D5E4;0051
1D5E5;0052
1D5E6;0053
1D5E7;0054
1D5E8;0055
1D5E9;0056
1D5EA;0057
1D5EB;0058
1D5EC;0059
1D5ED;005A
1D5EE;0061
1D5EF;0062
1D5F0;0063
1D5F1;0064
1D5F2;0065
1D5F3;0066
1D5F4;0067
1D5F5;0068
1D5F6;0069
1D5F7;006A
1D5F8;006B
1D5F9;006C
1D5FA;0072 006E
1D5FB;006E
1D5FC;006F
1D5FD;0070
1D5FE;0071
1D5FF;0072
1D600;0073
1D601;0074
1D602;0075
1D603;0076
1D604;0077
1D605;0078
1D606;0079
1D607;007A
1D608;0041
1D609;0042
1D60A;0043
1D60B;0044
1D60C;0045
1D60D;0046
1D60E;0047
1D60F;0048
1D610;006C
1D611;004A
1D612;004B
1D613;004C
1D614;004D
1D615;004E
1D616;004F
1D617;0050
1D618;0051
1D619;0052
1D61A;0053
1D61B;0054
1D61C;0055
1D61D;0056
1D61E;0057
1D61F;0058
1D620;0059
1D621;005A
1D622;0061
1D623;0062
1D624;0063
1D625;0064
1D626;0065
1D627;0066
1D628;0067
1D629;0068
1D62A;0069
1D62B;006A
1D62C;006B
1D62D;006C
1D62E;0072 006E
1D62F;006E
1D630;006F
1D631;0070
1D632;0071
1D633;0072
1D634;0073
1D635;0074
1D636;0075
1D637;0076
1D638;0077
1D639;0078
1D63A;0079
1D63B;007A
1D63C;0041
1D63D;0042
1D63E;0043
1D63F;0044
1D640;0045
1D641;0046
1D642;0047
1D643;0048
1D644;006C
1D645;004A
1D646;004B
1D647;004C
1D648;004D
1D649;004E
1D64A;004F
1D64B;0050
1D64C;0051
1D64D;0052
1D64E;0053
1D64F;0054
1D650;0055
1D651;0056
1D652;0057
1D653;0058
1D654;0059
1D655;005A
1D656;0061
1D657;0062
1D658;0063
1D659;0064
1D65A;0065
1D65B;0066
1D65C;0067
1D65D;0068
1D65E;0069
1D65F;006A
1D660;006B
1D661;006C
1D662;0072 006E
1D663;006E
1D664;006F
1D665;0070
1D666;0071
1D667;0072
1D668;0073
1D669;0074
1D66A;0075
1D66B;0076
1D66C;0077
1D66D;0078
1D66E;0079
1D66F;007A
1D670;0041
1D671;0042
1D672;0043
1D673;0044
1D674;0045
1D675;0046
1D676;0047
1D677;0048
1D678;006C
1D679;004A
1D67A;004B
1D67B;004C
1D67C;004D
1D67D;004E
1D67E;004F
1D67F;0050
1D680;0051
1D681;0052
1D682;0053
1D683;0054
1D684;0055
1D685;0056
1D686;0057
1D687;0058
1D688;0059
1D689;005A
1D68A;0061
1D68B;0062
1D68C;0063
1D68D;0064
1D68E;0065
1D68F;0066
1D690;0067
1D691;0068
1D692;0069
1D693;006A
1D694;006B
1D695;006C
1D696;0072 006E
1D697;006E
1D698;006F
1D699;0070
1D69A;0071
1D69B;0072
1D69C;0073
1D69D;0074
1D69E;0075
1D69F;0076
1D6A0;0077
1D6A1;0078
1D6A2;0079
1D6A3;007A
1D6A4;0069
1D6A8;0041
1D6A9;0042
1D6AC;0045
1D6AD;005A
1D6AE;0048
1D6B0;006C
1D6B1;004B
1D6B3;004D
1D6B4;004E
1D6B6;004F
1D6B8;0050
1D6BB;0054
1D6BC;0059
1D6BE;0058
1D6C2;0061
1D6C4;0079
1D6CA;0069
1D6CE;0076
1D6D0;006F
1D6D2;0070
1D6D4;006F
1D6D6;0075
1D6E0;0070
1D6E2;0041
1D6E3;0042
1D6E6;0045
1D6E7;005A
1D6E8;0048
1D6EA;006C
1D6EB;004B
1D6ED;004D
1D6EE;004E
1D6F0;004F
1D6F2;0050
1D6F5;0054
1D6F6;0059
1D6F8;0058
1D6FC;0061
1D6FE;0079
1D704;0069
1D708;0076
1D70A;006F
1D70C;0070
1D70E;006F
1D710;0075
1D71A;0070
1D71C;0041
1D71D;0042
1D720;0045
1D721;005A
1D722;0048
1D724;006C
1D725;004B
1D727;004D
1D728;004E
1D72A;004F
1D72C;0050
1D72F;0054
1D730;0059
1D732;0058
1D736;0061
1D738;0079
1D73E;0069
1D742;0076
1D744;006F
1D746;0070
1D748;006F
1D74A;0075
1D754;0070
1D756;0041
1D757;0042
1D75A;0045
1D75B;005A
1D75C;0048
1D75E;006C
1D75F;004B
1D761;004D
1D762;004E
1D764;004F
1D766;0050
1D769;0054
1D76A;0059
1D76C;0058
1D770;0061
1D772;0079
